The Similar proteins with P50053
ID	Name	Domain	GO	Sequence
O00141	SGK1	0	0.174	0.018	
O00142	TK2	0	0.117	0.026	
O00238	BMPR1B	0	0.261	0.016	
O00311	CDC7	0	0.179	0.016	
O00329	PIK3CD	0	0.164	0.011	
O00418	EEF2K	0	0.142	0.013	
O00443	PIK3C2A	0	0.197	0.009	
O00444	PLK4	0	0.159	0.009	
O00506	STK25	0	0.235	0.017	
O00750	PIK3C2B	0	0.206	0.009	
O14519	CDK2AP1	0	0.064	0.027	
O14578	CIT	0	0.157	0.009	
O14730	RIOK3	0	0.136	0.015	
O14733	MAP2K6	0	0.2	0.018	
O14757	CHEK1	0	0.152	0.013	
O14920	IGF1R	0	0.297	0.013	
O14965	AURKA	0	0.139	0.015	
O14976	FYN	0	0.201	0.011	
O15075	DCLK1	0	0.251	0.015	
O15111	CHUK	0	0.213	0.013	
O15146	MUSK	0	0.313	0.015	
O15264	MAPK13	0	0.181	0.025	
O15530	PDPK1	0	0.236	0.022	
O43283	MAP3K12	0	0.185	0.013	
O43293	DAPK3	0	0.193	0.022	
O43318	MAP3K7	0	0.205	0.015	
O43353	RIPK2	0	0.19	0.014	
O43683	BUB1	0	0.171	0.01	
O43741	PRKAB2	0	0.082	0.019	
O43781	DYRK3	0	0.168	0.018	
O60285	NUAK1	0	0.162	0.013	
O60331	PIP5K1C	0	0.182	0.014	
O60674	JAK1	0	0.184	0.012	
O75116	ROCK2	0	0.208	0.012	
O75385	ULK1	0	0.189	0.013	
O75460	ERBB4	0	0.313	0.011	
O75582	RPS6KA5	0	0.168	0.02	
O75676	RPS6KA4	0	0.153	0.016	
O75716	STK16	0	0.222	0.016	
O75747	PIK3C2G	0	0.145	0.01	
O75914	PAK3	0	0.209	0.013	
O75956	CDK2AP2	0	0.064	0.029	
O76039	CDKL5	0	0.161	0.01	
O94768	STK17B	0	0.189	0.018	
O94804	STK10	0	0.234	0.012	
O94806	PRKD3	0	0.158	0.012	
O94921	CDK14	0	0.172	0.014	
O95382	MAP3K6	0	0.187	0.01	
O95544	NADK	0	0.131	0.017	
O95747	OXSR1	0	0.213	0.017	
O95819	MAP4K4	0	0.187	0.012	
O95835	KIT	0	0.37	0.011	
O96013	PAK4	0	0.197	0.018	
O96017	CHEK2	0	0.158	0.014	
P00519	ABL1	0	0.17	0.014	
P00533	EEF2K	0	0.142	0.013	
P00749	PLAU	0	0.095	0.014	
P04049	RAF1	0	0.203	0.013	
P04183	TK1	0	0.121	0.022	
P04626	EPHB4	0	0.34	0.011	
P04629	NTRK1	0	0.305	0.012	
P05129	PRKCG	0	0.175	0.012	
P05771	PRKCB	0	0.18	0.015	
P06213	ILK	0	0.236	0.009	
P06239	LATS2	0	0.178	0.014	
P06241	FRK	0	0.238	0.012	
P06493	CDK1	0	0.195	0.02	
P06732	CKM	0	0.123	0.017	
P07332	FER	0	0.174	0.014	
P07333	CSF1R	0	0.319	0.011	
P07947	YES1	0	0.218	0.013	
P07948	LTK	0	0.316	0.017	
P07949	RET	0	0.354	0.013	
P08069	ICK	0	0.157	0.009	
P08581	MET	0	0.344	0.009	
P08631	GSK3B	0	0.169	0.016	
P08922	ROS1	0	0.26	0.009	
P09619	PDGFRB	0	0.314	0.011	
P09769	FGFR4	0	0.403	0.015	
P0C1S8	WEE2	0	0.179	0.017	
P0C264	SBK3	0	0.133	0.018	
P10398	ARAF	0	0.215	0.016	
P10721	KHK	0	0.16	0.013	
P11274	BCR	0	0.178	0.011	
P11309	PIM1	0	0.193	0.016	
P11362	FES	0	0.256	0.013	
P11802	CDK4	0	0.173	0.016	
P12931	SRC	0	0.194	0.013	
P14616	INSR	0	0.303	0.009	
P15056	BRAF	0	0.223	0.014	
P15735	PHKG2	0	0.133	0.016	
P16066	NPR1	0	0.208	0.013	
P16234	PDGFRA	0	0.392	0.012	
P16591	ERN1	0	0.196	0.016	
P17252	PRKCA	0	0.201	0.017	
P17612	PRKACA	0	0.173	0.019	
P17948	FGR	0	0.2	0.011	
P19367	HIPK4	0	0.173	0.01	
P19525	EIF2AK1	0	0.139	0.015	
P19784	CSNK2A2	0	0.181	0.019	
P20594	NPR2	0	0.178	0.011	
P20794	MAGI3	0	0.185	0.013	
P21127	CDK11B	0	0.168	0.011	
P21709	EIF2AK4	0	0.154	0.012	
P21802	FGFR1	0	0.373	0.013	
P21860	ERBB2	0	0.319	0.011	
P22455	FGFR3	0	0.388	0.013	
P22607	FGFR2	0	0.345	0.013	
P22612	PRKACG	0	0.181	0.02	
P22694	PRKACB	0	0.186	0.018	
P23443	RPS6KB1	0	0.197	0.015	
P23458	ITK	0	0.214	0.009	
P23919	DTYMK	0	0.115	0.032	
P24723	PRKCH	0	0.215	0.013	
P24941	CDK2	0	0.153	0.022	
P25098	ADRBK1	0	0.164	0.014	
P27037	ACVR2A	0	0.285	0.015	
P27144	AK4	0	0.132	0.022	
P27361	MAPK3	0	0.246	0.016	
P27448	MARK3	0	0.185	0.014	
P27707	DCK	0	0.124	0.019	
P27986	PIK3R1	0	0.108	0.021	
P28482	MAPK1	0	0.221	0.016	
P29317	EPHA1	0	0.31	0.015	
P29320	EPHA2	0	0.326	0.012	
P29322	EPHA7	0	0.27	0.012	
P29323	EPHB1	0	0.335	0.01	
P29376	LRRK2	0	0.147	0.013	
P29597	TYK2	0	0.212	0.011	
P30291	WEE1	0	0.171	0.014	
P30530	AXL	0	0.263	0.012	
P31152	MAPK4	0	0.162	0.016	
P31749	AKT1	0	0.16	0.014	
P31751	AKT2	0	0.207	0.014	
P32189	GCK	0	0.15	0.015	
P32298	GRK1	0	0.167	0.013	
P33981	TTK	0	0.185	0.013	
P34947	GRK4	0	0.144	0.013	
P35557	GALK1	0	0.147	0.016	
P35558	PCK1	0	0.103	0.013	
P35590	TIE1	0	0.32	0.011	
P35626	ADRBK2	0	0.129	0.013	
P35790	CHKA	0	0.111	0.021	
P35916	FLT3	0	0.36	0.011	
P35968	JAK3	0	0.203	0.011	
P36507	MAP2K1	0	0.208	0.016	
P36888	FLT1	0	0.389	0.014	
P36894	BMPR1A	0	0.267	0.016	
P36896	ACVR1B	0	0.308	0.015	
P36897	TGFBR1	0	0.297	0.014	
P37023	ACVRL1	0	0.301	0.017	
P37173	TGFBR2	0	0.288	0.015	
P41240	CSK	0	0.253	0.016	
P41279	MAP3K8	0	0.189	0.018	
P41743	PRKCI	0	0.218	0.015	
P42336	PIK3CA	0	0.155	0.015	
P42338	PIK3CB	0	0.193	0.012	
P42345	MTOR	0	0.136	0.008	
P42356	PI4KA	0	0.188	0.008	
P42679	MATK	0	0.217	0.019	
P42680	TEC	0	0.227	0.013	
P42681	TXK	0	0.182	0.016	
P42684	ABL2	0	0.209	0.01	
P42685	FLT4	0	0.42	0.014	
P43250	GRK5	0	0.164	0.016	
P43403	ZAP70	0	0.218	0.015	
P43405	SYK	0	0.293	0.015	
P45983	MAPK8	0	0.174	0.017	
P45984	MAPK9	0	0.163	0.018	
P45985	MAP2K3	0	0.195	0.02	
P46019	PHKA2	0	0.068	0.011	
P46020	PHKA1	0	0.068	0.011	
P46734	MAP2K2	0	0.216	0.017	
P48729	CSNK1A1	0	0.174	0.017	
P48730	CSNK1D	0	0.192	0.017	
P48736	PIK3CG	0	0.183	0.011	
P49137	MAPKAPK2	0	0.191	0.023	
P49336	CDK8	0	0.16	0.02	
P49674	CSNK1E	0	0.193	0.015	
P49759	CLK1	0	0.17	0.016	
P49760	CLK2	0	0.167	0.016	
