Interactions associated to 10206158
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
O15146	MUSK	0	0	0.002	0	0	0	0	0	0	
P04629	NTRK1	0	0	0.002	0	0	0	0	0	0	
P09619	PDGFRB	0	0	0.002	0	0	0	0	0	0	
P10721	KHK	0	0	0.002	0	0	0	0	0	0	
P16066	NPR1	0	0	0	0	0.939	0	0	0	0.047	
P16234	PDGFRA	0	0	0.002	0	0	0	0	0	0	
P17948	FGR	0	0	0.002	0	0	0	0	0	0	
P20594	NPR2	0	0	0	0	0.939	0	0	0	0.047	
P21802	FGFR1	0	0	0.002	0	0	0	0	0	0	
P30530	AXL	0	0	0.002	0	0	0	0	0	0	
P35590	TIE1	0	0	0.002	0	0	0	0	0	0	
P35916	FLT3	0	0	0.002	0	0	0	0	0	0	
P35968	JAK3	0	0	0.002	0	0	0	0	0	0	
Q02750	MAK	0.328	0	0	0	0	0	0.648	0.981	0.759	
Q06418	TYRO3	0	0	0.002	0	0	0	0	0	0	
Q12866	MERTK	0	0	0.002	0	0	0	0	0	0	
