Interactions associated to 1401
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
P09619	PDGFRB	0	0	0	0.024	0	0	0	0	0.001	
P11274	BCR	0	0	0	0	0	0	0.883	0	0.656	
P11362	FES	0.625	0	0	0.291	0	0	0.995	0.62	0.791	
P16066	NPR1	0	0	0	0	0.98	0	0	0	0.049	
P16234	PDGFRA	0	0	0	0.031	0	0	0	0	0.002	
P17948	FGR	0	0	0	0.067	0	0	0	0.057	0.046	
P20594	NPR2	0	0	0	0	0.98	0	0	0	0.049	
P21802	FGFR1	0.456	0	0	0.271	0	0	0.925	0.714	0.768	
P22455	FGFR3	0.517	0	0	0.569	0	0	0.914	0.714	0.783	
P22607	FGFR2	0.489	0	0	0.306	0	0	0.933	0.714	0.773	
P27361	MAPK3	0	0	0	0	0	0	0.669	0	0.497	
P28482	MAPK1	0	0	0	0	0	0	0.663	0	0.492	
P31749	AKT1	0	0	0	0	0	0	0.001	0	0.001	
P35916	FLT3	0	0	0	0.071	0	0	0	0.057	0.046	
P35968	JAK3	0	0	0	0.253	0	0	0.524	0.086	0.432	
P36888	FLT1	0	0	0	0.01	0	0	0	0	0.001	
P50053	KDR	0	0	0	0	0.215	0	0	0	0.011	
P55263	ADK	0	0	0	0	0.215	0	0	0	0.011	
