Interactions associated to 45270897
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
P00533	EEF2K	0	0	0	0	0	0	0.057	0	0.042	
P04626	EPHB4	0	0	0	0	0	0	0.039	0	0.029	
P06213	ILK	0	0	0	0	0	0	0.33	0	0.245	
P06239	LATS2	0	0	0	0	0	0	0.409	0	0.304	
P08069	ICK	0	0	0	0	0	0	0.988	0.193	0.737	
P08581	MET	0	0	0.113	0	0	0	0	0	0.006	
P09619	PDGFRB	0	0	0	0	0	0	0.648	0	0.481	
P10721	KHK	0	0	0	0	0	0	0	0	0	
P11274	BCR	0	0	0.274	0	0	0	0	0	0.014	
P12931	SRC	0	0	0	0	0	0	0.648	0	0.481	
P16066	NPR1	0	0	0	0	0.304	0	0	0	0.015	
P20594	NPR2	0	0	0	0	0.304	0	0	0	0.015	
P31749	AKT1	0	0	0	0	0	0	0.833	0	0.619	
P42336	PIK3CA	0	0	0	0	0	0	0.053	0	0.039	
P42345	MTOR	0	0	0	0	0	0	0.058	0	0.043	
P55263	ADK	0	0	0	0	0	0	0.648	0	0.481	
P78527	PRKDC	0	0	0	0	0	0	0.048	0	0.036	
Q06418	TYRO3	0	0	0	0	0	0	0.766	0	0.569	
